smiles,score
Cc1cccnc1Nc2nccc(n2)[C@@H]3CCC[N@H+](C3)CC(=O)N4CCCC4,9.06802749633789
CCOC(=O)c1c2c(n(n1)CCC(C)C)CC[N@H+](C2)C3Cc4ccccc4C3,9.063376426696777
Cc1cccc(c1)c2cccc(n2)[C@@H]3CCC[N@H+](C3)CC(=O)N4CCOCC4,9.063376426696777
c1c(cc(cc1Cl)Cl)CC[N@@H+]2CCC[C@@]3(C2)C(=O)NC(=O)N3,9.063376426696777
CN1CC[NH+](CC1)[C@@H]2CCN(C[C@@H]2CCCO)C(=O)c3cc4ccccc4[nH]3,9.059659957885742
C[NH+](C)CCCn1cc[nH+]c1[C@@H]2CCCN(C2)C(=O)NCC3CCCCC3,9.059659957885742
CC(C)(C(=O)NC[C@H](c1ccc(cc1)OC)[NH+]2CCCCC2)Oc3ccc(cc3)Cl,9.028118133544922
c1ccc(cc1)O[C@@H]2[C@@H]([C@H]([C@@H]3CO[C@H]2O3)NC(=O)Nc4cccc(c4)C(F)(F)F)O,9.000256538391113
c1cc(cc(c1)Br)/C=C\2/C(=O)N(C(=S)S2)CCC(=O)Nc3ccc(cc3)O,9.000256538391113
COCC(=O)Nc1ccc2cnn(c2c1)CC3(CCN(CC3)C(=O)c4cccc(c4)F)O,9.000256538391113
CC(=O)Nc1ccccc1O[C@H]2CC[N@@H+](C2)CCCC(=O)c3ccc(cc3)F,8.999551773071289
CCSc1ncc(cn1)C[N@H+](C)Cc2cc3cc(ccc3[nH]2)F,8.999551773071289
COCc1cncc2c1CC[N@](C2)S(=O)(=O)c3cccc(c3)F,8.999551773071289
Cc1c(cnc2n1ncc2)C(=O)NC[C@@H]3CCC[N@@H+](C3)Cc4ccc(o4)Cl,8.988454818725586
C[C@@]1(C[N@H+](CCO1)C)C(=O)N2CCN(CC2)c3ccccc3,8.980890274047852
Cn1c(nnc1C[N@@H+](C)CCc2c[nH]nc2)CC3CC[NH2+]CC3,8.980890274047852
CC(=O)Nc1ccc(cc1)C[N@H+]2CCOC[C@H]2c3[nH]cc(n3)c4ccccc4,8.980890274047852
CCOC(=O)C1(CC[NH+](CC1)Cc2cc(c(cc2Cl)O)OC)CCOc3ccccc3,8.969019889831543
CC[NH+](CC)CCCNC(=O)c1c(c2ccccc2n(c1=O)Cc3ccccc3)[O-],8.96583366394043
c1cn(cn1)CC2CCN(CC2)C(=O)[C@H]3CCC(=O)N(C3)CCC[NH+]4CCOCC4,8.965365409851074
C[C@H]1[C@@H](CCO1)NC(=O)N[C@@H](C)c2ccc(cc2)N3CC[NH+](CC3)C,8.965365409851074
C/[NH+]=C(/NC[C@H]1CCOC1)\N(C)Cc2ccc(cc2)C(F)(F)F,8.964325904846191
Cc1nc(cc(n1)N2CCOCC2)[C@H]3CC[N@H+]3CCc4ccccc4,8.9387845993042
Cc1ccc(cc1)NC(=O)OC[C@H]2CCC[N@@H+]3[C@H]2CCCC3,8.9387845993042
c1c([nH]nc1[C@H]2CCC[N@@H+]2C3CCCC3)CCO,8.9387845993042
Cc1nc(on1)[C@H]2CCC[N@@H+]2Cc3ccc(cc3)c4ccccc4C(=O)[O-],8.913613319396973
CC[NH+]1CCN(CC1)c2c(ccc(n2)c3ccc(cc3)F)C(=O)N[C@@H]4CCOC(C4)(C)C,8.913076400756836
c1ccc(c(c1)C(=O)NCC2CC[NH+](CC2)[C@H]3CCOC3)Br,8.88378620147705
c1cc(cnc1)CN2CC[NH+](CC2)C[C@@H](CC(=O)Nc3ccc(cc3)O)C(=O)[O-],8.874776840209961
c1cc2c(cc1NC(=O)C[N@H+]3CCc4c(ccs4)C3)[nH]c(=O)[nH]2,8.85584831237793
c1ccc(c(c1)N2C(=O)/C(=C\[NH2+]CCCn3ccnc3)/C(=O)[NH+]=C2S)F,8.852322578430176
c1ccc2c(c1)[C@@H]([C@H](C23CC[NH+](CC3)C/C=C\c4ccco4)O)n5ccnc5,8.846783638000488
Cc1c(c(on1)C)c2ccnc(c2)C3CCN(CC3)C(=O)C[NH3+],8.840197563171387
c1ccc(cc1)[C@@H]2[C@H](CC3(CCN(CC3)C(=O)CC4(CCCCC4)O)C(=O)N2)O,8.826297760009766
C[N@]1CCc2c1ccc(c2)[C@H](CNC(=O)c3cc4ccccc4oc3=O)[NH+]5CCCCC5,8.822590827941895
c1ccc2c(c1)c3nc(nn3c(n2)SCC[NH+]4CCCCC4)c5ccco5,8.816633224487305
Cc1ccc(cc1)C[N@@H+](C)CC(=O)N[C@H](C)c2cccs2,8.804825782775879
CC(=O)Nc1ccc(cc1)C[N@@H+]2CCC[C@@H](C2)Cn3ccnc3,8.804825782775879
Cc1nc(on1)[C@@H]2CC[N@H+](C2)Cc3ccc(o3)CO,8.782923698425293
Cc1ccccc1SCC(=O)N[C@@H]2CCC[N@@H+](C2)Cc3cccnc3,8.77965259552002
CCC(=O)/[NH+]=C(/NCCc1c[nH]c2c1cccc2)\Nc3nc(cc(n3)C)C,8.769659996032715
CC(C)c1ccc(cc1)c2nc(cs2)CCC[NH3+],8.76549243927002
CC[C@H](c1ccc(c(c1)OC)OCc2ccccc2)O,8.752389907836914
c1cc(ccc1CCNC(=O)C(=O)Nc2c[nH]c(=O)[nH]c2=O)O,8.752389907836914
CCCCCCCCCCCC(=O)NCCc1ccc(c(c1)O)O,8.752389907836914
Cc1c(c2ccccc2[nH]1)C(=O)/C=C\c3ccccc3O,8.752389907836914
CCOc1ccc(cc1)/N=c\2/c(cc3ccc(cc3o2)O)C(=O)NC[C@H]4CCCO4,8.746748924255371
c1cc(c(cc1Cl)C(=O)NC[C@@H]2COCCO2)OC3CC[NH+](CC3)C4CCCC4,8.694076538085938
CCn1c(c(c(n1)C)C[NH+]2CCC3(CC2)C[C@H]3C(=O)NCc4ccccc4C(F)(F)F)C,8.658914566040039
CNC(=O)C[C@H]1C[N@@H+](Cc2n1ncc2)C3CCC3,8.647351264953613
CCc1ccc(nc1)C[N@@H+]2CCC[C@H](C2)C(=O)N3CCCC3,8.647351264953613
Cc1ccccc1CC[N@@H+]2CCC[C@@H](C2)CN(C)C(=O)C3=NN(C(=O)CC3)C,8.643421173095703
Cc1ccc(cc1)[C@H]\2[C@@H](C(=O)N/[N+]2=C\c3ccccc3Cl)NC(=O)c4ccccc4,8.626172065734863
